연도,물량(톤),금액(억원),농산물 물량(톤),농산물 금액(억원),수산물 물량(톤),수산물 금액(억원),대구,영남권,농산물 물량(kg/인),농산물 금액(원/인),수산물 물량(kg/인),수산물 금액(원/인),농산물 물량(kg/인)_1,농산물 금액(원/인)_2,수산물 물량(kg/인)_3,수산물 금액(원/인)_4
2000,462309,2884.16,451439,2669.18,10870,214.98,2528863,13106062,178.5146131,105548.6201,4.298374408,8501.053636,34.44505298,20365.99552,0.829387195,1640.309652
2001,451542,2969,442458,2750.17,9084,218.83,2535374,13103275,174.5138981,108471.9651,3.582903351,8631.073759,33.7669781,20988.41702,0.693261799,1670.040505
2002,447412,3168,438126,2954.93,9286,213.07,2530953,13079288,173.1071261,116751.6742,3.668973703,8418.568026,33.49769498,22592.43775,0.709977485,1629.064212
2003,421163,3415,410268,3196.89,10895,218.11,2531930,13042422,162.0376551,126262.9694,4.303041553,8614.377175,31.45642734,24511.47494,0.83535098,1672.31209
2004,403614,3588,390497,3331.95,13117,256.05,2533260,12995643,154.1480148,131528.1495,5.177913045,10107.52943,30.04830157,25638.97762,1.009338284,1970.27573
2005,409234,3586,394418,3312.64,14816,273.36,2509168,12932541,157.1907501,132021.4509,5.904746115,10894.44788,30.49810552,25614.76511,1.145637195,2113.737741
2006,403160,4008,384696,3673.39,18464,334.61,2490045,12905284,154.4935935,147523.0367,7.415127036,13437.90976,29.80918514,28464.23217,1.430731784,2592.81392
2007,423508,4171,406621,3852.37,16887,318.63,2483535,12880860,163.7267041,155116.3966,6.799582047,12829.69638,31.56784563,29907.70803,1.311014948,2473.670236
2008,446857,4294,437323,3976.38,9534,317.62,2480984,12892688,176.26998,160274.3105,3.842830103,12802.17849,33.92023448,30842.13315,0.739488926,2463.566946
2009,484850,4983,475877,4659.16,8973,323.84,2481714,12903586,191.7533608,187739.6025,3.615646283,13049.04594,36.87943801,36107.48206,0.695388088,2509.689942
2010,482577,6436.99,474038,6093.49,8539,343.5,2479781,12903180,191.1612356,245726.9412,3.44344924,13852.02968,36.73807542,47224.71515,0.661774849,2662.134451
2011,491564,6321,480866,5894.27,10698,426.73,2483116,12961248,193.6542634,237373.9286,4.308296511,17185.26239,37.1002854,45476.09922,0.825383482,3292.352712
2012,493926,7268.59,481564,6765.98,12362,502.61,2480493,12988283,194.140439,272767.5506,4.983686711,20262.50427,37.07680222,52092.95178,0.951780924,3869.718576
2013,511633,8012,497603,7418.53,14030,593.47,2475657,13007769,200.9983612,299659.04,5.667182489,23972.22232,38.25429249,57031.53246,1.07858619,4562.427269
2014,552713,7164,536741,6455.71,15972,708.29,2474900,13056671,216.8738131,260847.307,6.453594085,28618.9341,41.10856435,49443.7671,1.223282719,5424.73652
2015,557109,7892,539019,7137.5,18090,754.5,2468755,13092732,218.3363679,289113.3385,7.327580096,30561.96342,41.16932967,54514.97823,1.381682601,5762.739205
2016,553662,8809,536819,8006.26,16843,802.74,2461272,13095483,218.1063288,325289.5251,6.843209527,32614.84306,40.99268427,61137.56934,1.286168674,6129.899905
2017,550444,8851,533638,7924.09,16806,926.91,2457769,13055368,217.1229273,322409.8766,6.837908689,37713.47104,40.87498721,60696.0294,1.287286578,7099.838166
2018,550923,9283,530200,8023.62,20723,1259.38,2448800,13031169,216.514211,327655.178,8.462512251,51428.45475,40.68706346,61572.52661,1.590264081,9664.367026
2019,576468,8681,564699,7870.79,11769,810.21,2436776,12984995,231.7402174,323000.1445,4.82974225,33249.2605,43.48858047,60614.50158,0.906353834,6239.586538
2020,531475,9495,522182,8716.51,9293,778.49,2414262,12900963,216.2905269,361042.4221,3.849209406,32245.46466,40.47620321,67564.80117,0.720333823,6034.35573
2021,540305,10429,526786,9279.73,13519,1149.27,2387631,12797190,220.6312449,388658.4652,5.662097703,48134.32226,41.16419308,72513.80967,1.056403789,8980.643407
